t,y_truth,y_hat
0.9010842,-1.0835233,-1.0662484
0.30311775,0.20070449,-0.014036447
0.082710005,-0.45797336,-0.30267993
0.3607472,0.41726968,-0.04309699
0.10563578,-0.4190179,-1.0176698
0.16301444,-0.2844875,-0.395498
0.850154,-0.7319142,-0.4882498
0.17287797,-0.2565222,-0.6545224
0.5128407,0.78124917,0.8071965
0.6580513,0.5209075,0.59258485
0.21290503,-0.13075627,-0.15974665
0.76221734,-0.084491394,-0.2558823
0.24026698,-0.03535632,-0.033171505
0.13543531,-0.35542858,0.006617099
0.19657174,-0.18429327,-0.24249199
0.26054728,0.03898416,0.088768184
0.7836596,-0.23823567,0.4622222
0.42996234,0.6384296,0.25510296
0.93401194,-1.2751287,-0.8147192
0.20717953,-0.14984314,-0.26816022
0.25820333,0.030266872,0.16886365
0.07967365,-0.46245635,-0.637012
0.87405336,-0.90304255,-0.23916951
0.44995934,0.68780047,0.73183477
0.047778286,-0.49968225,-0.62822855
0.24430616,-0.020761773,0.22439429
0.93317336,-1.270724,-0.949788
